k;N_k;t_zan;t_pr;delta_pr
1;12;56.05526;0.67337;0.01187
2;13;40.92671;15.80192;0.27855
3;12;33.20523;23.5234;0.41467
4;8;27.35096;29.37767;0.51786
5;4;21.33835;35.39028;0.62385
6;4;19.61304;37.11559;0.65427
